City,Country,Cloudiness,Date,Humidity,Lat,Lng,Temp,Max Temp,Wind Speed
Yatou,CN,100,1579917505,52,37.15,122.38,39.54,39.54,11.27
Cayenne,GF,75,1579917208,83,4.93,-52.33,78.8,78.8,4.7
Shimoda,JP,75,1579917505,75,34.67,138.95,47.19,51.8,17.22
Pingliang,CN,100,1579917505,76,35.54,106.69,24.28,24.28,4.23
Conde,BR,75,1579917505,88,-7.26,-34.91,78.8,78.8,4.7
Praya,ID,75,1579917505,66,-8.71,116.27,87.8,87.8,2.24
High Prairie,CA,24,1579917505,88,55.43,-116.49,23.94,23.94,2.35
Bonavista,CA,0,1579917505,70,48.65,-53.11,19.99,19.99,5.99
Kimbe,PG,19,1579917506,62,-5.55,150.14,88.59,88.59,6.26
Amga,RU,8,1579917506,95,60.9,131.96,-30.24,-30.24,1.3
Opportunity,US,90,1579917506,93,47.65,-117.24,39.97,43.0,6.55
Hamilton,BM,75,1579917413,88,32.29,-64.78,68.02,70.0,14.99
Kieta,PG,0,1579917216,66,-6.22,155.63,86.59,86.59,7.96
Metro,ID,95,1579917483,78,-5.11,105.31,83.1,83.1,11.56
Sao Gabriel da Cachoeira,BR,100,1579917506,94,-0.13,-67.09,75.63,75.63,1.52
Huilong,CN,100,1579917506,41,31.81,121.66,47.55,51.01,10.33
Izumo,JP,75,1579917507,66,35.37,132.77,47.21,48.2,16.11
Jumla,NP,0,1579917507,39,29.27,82.18,30.38,30.38,3.24
Bowen,AU,90,1579917507,83,-20.02,148.23,83.41,86.0,6.93
Legionowo,PL,90,1579917507,81,52.4,20.93,33.31,36.0,11.41
Ha Tinh,VN,89,1579917507,84,18.33,105.9,73.94,73.94,16.04
Esmeraldas,EC,40,1579917507,74,-1.87,-79.8,82.15,82.4,3.36
Gornopravdinsk,RU,100,1579917507,99,60.05,69.9,-2.11,-2.11,5.46
Trelaze,FR,90,1579917507,100,47.45,-0.47,36.72,37.4,3.36
Nuevitas,CU,20,1579917507,88,21.55,-77.26,68.0,68.0,5.82
Rio Brilhante,BR,0,1579917508,93,-21.8,-54.55,69.31,69.31,1.45
OErnskoeldsvik,SE,0,1579917508,63,63.29,18.72,31.01,32.0,24.16
Ancud,CL,20,1579917508,77,-41.87,-73.82,59.0,59.0,9.17
Natal,BR,75,1579917292,83,-5.79,-35.21,80.6,80.6,6.93
Jiblah,YE,100,1579917508,89,13.92,44.15,58.69,58.69,1.92
Sarab,IR,0,1579917508,66,38.61,44.99,12.43,12.43,1.48
Djambala,CG,100,1579917508,87,-2.54,14.75,70.27,70.27,4.45
Saint-Honore,CA,40,1579917508,91,48.53,-71.08,7.68,10.99,2.24
Ambovombe,MG,0,1579917509,79,-25.17,46.08,70.21,70.21,11.27
La Ronge,CA,75,1579917509,92,55.1,-105.28,15.8,15.8,2.17
Grand Gaube,MU,75,1579917509,94,-20.01,57.66,79.68,80.6,19.46
Naze,JP,75,1579917509,88,28.37,129.48,71.6,71.6,6.93
Troitskoye,RU,100,1579917509,84,52.98,84.68,23.85,23.85,5.39
Batemans Bay,AU,86,1579917509,75,-35.72,150.18,75.96,77.0,5.01
Sao Filipe,CV,7,1579917509,68,14.9,-24.5,72.12,72.12,14.43
Luanda,AO,75,1579917457,78,-8.84,13.23,80.6,80.6,6.93
Westport,IE,100,1579917510,90,53.8,-9.52,45.72,50.0,1.01
Santiago,PY,0,1579917510,64,-27.15,-56.78,68.83,68.83,4.56
Birjand,IR,0,1579917510,82,32.87,59.22,32.5,32.5,4.34
Xichang,CN,100,1579917510,84,27.9,102.26,24.1,24.1,4.14
Port Blair,IN,40,1579917510,94,11.67,92.75,71.6,71.6,2.24
Gayeri,BF,65,1579917510,10,12.65,0.49,70.39,70.39,13.42
Nakusp,CA,100,1579917510,99,50.25,-117.8,33.01,33.01,1.01
Arrondissement de Bar-le-Duc,FR,14,1579917510,92,48.75,5.17,30.43,32.0,2.24
Ormara,PK,34,1579917511,67,25.21,64.64,70.95,70.95,10.78
Weinan,CN,90,1579917511,93,34.5,109.51,37.89,39.99,4.47
Mahajanga,MG,20,1579917511,94,-15.72,46.32,77.0,77.0,2.24
Oistins,BB,20,1579917511,78,13.07,-59.53,78.8,78.8,10.29
Tolaga Bay,NZ,1,1579917511,86,-38.37,178.3,69.62,69.62,9.75
Vaitape,PF,6,1579917511,77,-16.52,-151.75,82.33,82.33,12.59
Pishin,PK,85,1579917511,92,30.58,67.0,40.68,40.68,5.59
Port Moresby,PG,40,1579917511,63,-9.44,147.18,91.4,91.4,16.11
Werda,BW,75,1579917512,79,-25.27,23.28,66.52,66.52,14.65
Prince Rupert,CA,90,1579917301,93,54.32,-130.32,44.6,44.6,12.75
Mandalgovi,MN,0,1579917512,62,45.76,106.27,13.33,13.33,4.61
Bengkulu,ID,100,1579917388,93,-3.8,102.27,75.9,75.9,3.49
Walvis Bay,NA,0,1579917512,93,-22.96,14.51,61.9,64.0,4.7
Itaituba,BR,100,1579917294,65,-4.28,-55.98,81.05,81.05,1.63
Casselman,CA,75,1579917512,74,45.32,-75.08,29.98,32.0,8.05
'Ahuimanu,US,40,1579917512,61,21.44,-157.84,79.07,80.01,4.7
Richards Bay,ZA,96,1579917512,79,-28.78,32.04,75.99,75.99,25.77
Ajuchitlan,MX,40,1579917513,55,20.72,-100.02,60.8,60.8,8.05
Severobaykalsk,RU,100,1579917513,90,55.65,109.32,19.47,19.47,14.25
Mwinilunga,ZM,100,1579917513,98,-11.74,24.43,61.95,61.95,2.98
Dryden,CA,75,1579917513,92,49.78,-92.75,19.4,19.4,4.7
Nizwa,OM,46,1579917513,76,22.93,57.53,59.52,59.52,1.14
Emba,KZ,100,1579917513,99,48.83,58.14,2.19,2.19,9.37
Taber,CA,40,1579917513,56,49.82,-112.15,43.36,44.01,19.46
Lakselv,NO,96,1579917354,92,70.05,24.97,17.02,19.4,9.17
Porto Santo,PT,40,1579917514,67,33.07,-16.34,58.23,59.0,12.75
Linqiong,CN,88,1579917514,65,30.42,103.46,44.6,44.6,0.96
Gondanglegi,ID,67,1579917514,70,-7.75,112.01,84.38,84.38,4.7
Viseu,BR,90,1579917514,80,-1.2,-46.14,82.76,82.76,14.09
Labuhan,ID,86,1579917514,69,-6.88,112.21,85.86,85.86,3.78
Salinas,MX,40,1579917514,33,18.8,-99.64,69.28,75.2,2.24
Marsassoum,SN,35,1579917515,69,12.83,-15.98,75.2,75.2,4.7
Padang,ID,14,1579917515,63,-0.95,100.35,82.47,82.47,1.19
Burns Lake,CA,55,1579917515,95,54.23,-125.75,28.13,28.13,4.94
Norman,US,1,1579917515,69,35.22,-97.44,39.6,42.8,4.7
Bluefield,US,75,1579917515,100,37.27,-81.22,45.0,48.2,4.09
Chimoio,MZ,75,1579917515,100,-19.12,33.48,68.0,68.0,2.8
Carballo,ES,90,1579917515,100,43.21,-8.69,41.63,46.0,5.82
Eureka,US,90,1579917388,87,40.8,-124.16,55.45,59.0,4.79
Changde,CN,100,1579917516,83,29.05,111.68,41.79,41.79,12.55
Samoded,RU,100,1579917516,95,63.61,40.51,22.01,22.01,7.11
Svetlogorsk,RU,90,1579917516,93,54.94,20.15,42.8,42.8,17.9
San Quintin,MX,100,1579917516,82,30.48,-115.95,59.79,59.79,1.25
Assiut,EG,0,1579917516,75,27.18,31.18,44.6,44.6,9.17
Jacqueville,CI,20,1579917516,89,5.21,-4.41,84.2,84.2,6.93
Shelburne,CA,90,1579917238,93,44.08,-80.2,34.27,36.0,16.11
Ossora,RU,100,1579917516,96,59.24,163.07,30.4,30.4,25.03
Isangel,VU,24,1579917517,80,-19.55,169.27,79.27,79.27,12.53
Mogadishu,SO,100,1579917517,85,2.04,45.34,81.14,81.14,23.6
Terrace,CA,75,1579917231,100,54.52,-128.6,37.24,37.4,9.17
Northam,AU,37,1579917304,42,-31.67,116.67,82.4,82.4,6.93
Tigil,RU,100,1579917517,92,57.8,158.67,8.15,8.15,14.36
Roald,NO,100,1579917517,80,62.58,6.13,34.77,39.2,14.99
Idanre,NG,91,1579917517,14,7.11,5.12,68.29,68.29,4.36
Tutoia,BR,60,1579917518,94,-2.76,-42.27,76.14,76.14,4.29
Belmonte,BR,40,1579917518,83,-15.86,-38.88,78.8,78.8,10.29
Andenes,NO,100,1579917518,92,69.31,16.12,27.84,28.4,8.05
Pochutla,MX,5,1579917518,78,15.74,-96.47,78.4,80.6,4.92
Bojnourd,IR,90,1579917518,80,37.47,57.33,35.6,35.6,2.44
Gulabpura,IN,0,1579917518,34,25.9,74.67,55.56,55.56,4.16
Leh,IN,100,1579917518,91,34.17,77.58,-1.35,-1.35,4.32
Kaeo,NZ,0,1579917518,61,-35.1,173.78,84.4,91.99,1.01
Port Macquarie,AU,90,1579917260,66,-31.43,152.92,87.48,90.0,7.99
Sakakah,SA,0,1579917519,80,29.97,40.21,35.6,35.6,11.41
Tongzi,CN,100,1579917519,67,28.78,105.09,47.61,47.61,9.01
Zheleznodorozhnyy,RU,90,1579917353,86,55.75,38.0,36.93,39.0,8.95
Esim,GH,55,1579917519,92,4.87,-2.24,77.13,77.13,2.89
Omboue,GA,82,1579917519,95,-1.57,9.26,75.38,75.38,1.14
Devils Lake,US,90,1579917519,100,48.11,-98.87,18.46,19.4,6.58
Hoshcha,UA,67,1579917519,75,50.6,26.67,30.67,30.67,16.15
Salamanca,ES,100,1579917519,100,40.83,-6.0,37.0,41.0,3.36
Coahuayana Viejo,MX,40,1579917519,83,18.73,-103.68,71.6,71.6,11.41
Stepnoye,RU,100,1579917520,95,51.4,46.87,28.89,28.89,18.99
Torbat-e Jam,IR,0,1579917520,57,35.24,60.62,32.56,32.56,4.74
Morondava,MG,100,1579917520,94,-20.28,44.28,74.48,74.48,3.94
Beyneu,KZ,88,1579917520,77,45.32,55.2,25.12,25.12,12.82
Ati,TD,0,1579917520,19,13.22,18.34,55.83,55.83,10.78
Carutapera,BR,90,1579917520,80,-1.2,-46.02,82.76,82.76,14.09
Mayo,CA,90,1579917520,84,63.59,-135.9,3.2,3.2,5.82
Nanortalik,GL,100,1579917520,75,60.14,-45.24,20.73,20.73,31.65
Umm Lajj,SA,0,1579917520,63,25.02,37.27,53.71,53.71,14.72
Juneau,US,90,1579917521,95,58.3,-134.42,31.75,33.01,2.62
Mahon,ES,19,1579917521,93,39.89,4.27,50.0,50.0,5.82
Tabuk,SA,40,1579917521,69,28.38,36.58,37.4,37.4,4.7
Bom Jesus,BR,100,1579917521,90,-9.07,-44.36,71.55,71.55,1.54
Biltine,TD,0,1579917521,18,14.53,20.92,56.08,56.08,16.37
Minna,NG,32,1579917521,23,9.61,6.56,73.4,73.4,10.29
Cabra,PH,100,1579917521,79,13.89,120.05,79.84,79.84,18.1
Kruisfontein,ZA,71,1579917521,83,-34.0,24.73,65.12,65.12,5.68
Neiafu,TO,75,1579917522,78,-18.65,-173.98,82.4,82.4,6.93
Houston,CA,75,1579917522,86,54.4,-126.67,37.4,37.4,5.82
Lethem,GY,100,1579917522,42,3.38,-59.8,84.06,84.06,14.5
Ouegoa,NC,99,1579917522,65,-20.35,164.43,79.36,79.36,3.4
Humberto de Campos,BR,98,1579917522,86,-2.6,-43.46,78.78,78.78,4.81
Kostomuksha,RU,100,1579917522,96,64.57,30.58,25.07,25.07,3.44
Chantada,ES,20,1579917522,87,42.61,-7.77,38.98,46.0,4.7
Kulykiv,UA,24,1579917523,74,50.31,24.82,29.59,29.59,15.86
Dingle,IE,100,1579917523,85,52.14,-10.27,48.92,48.92,23.4
Eyemouth,GB,100,1579917523,93,55.87,-2.09,44.28,45.0,12.75
Sullana,PE,100,1579917523,62,-4.9,-80.69,79.27,79.27,11.45
Mecca,SA,0,1579917463,57,21.43,39.83,54.99,54.99,4.85
Pamplona,ES,67,1579917523,93,42.82,-1.64,46.58,55.0,2.24
Russell,NZ,0,1579917523,66,-35.26,174.12,83.55,91.99,8.01
Magadan,RU,98,1579917524,76,59.57,150.8,-12.44,-12.44,11.34
Puerto del Rosario,ES,0,1579917524,87,28.5,-13.86,57.2,57.2,5.82
Palmer,US,75,1579917524,80,42.16,-72.33,33.22,36.0,5.32
Necochea,AR,89,1579917524,75,-38.55,-58.74,53.62,59.0,5.01
Turaif,SA,0,1579917524,100,31.67,38.66,30.2,30.2,18.34
Khasan,RU,10,1579917524,62,42.43,130.64,19.78,19.78,3.31
Nixa,US,90,1579917247,92,37.04,-93.29,31.53,33.01,8.05
Bakchar,RU,100,1579917524,95,57.02,82.07,25.97,25.97,9.53
Leningradskiy,RU,4,1579917525,80,69.38,178.42,-23.69,-23.69,1.54
Zhoucheng,CN,83,1579917525,34,35.91,116.31,42.26,42.26,1.07
Springdale,CA,0,1579917525,86,49.5,-56.06,0.88,0.88,5.08
Zaraza,VE,0,1579917525,83,9.35,-65.32,73.49,73.49,9.55
Ostrovnoy,RU,100,1579917524,88,68.05,39.51,10.67,10.67,4.76
Mosquera,CO,75,1579917525,82,4.71,-74.23,57.2,57.2,6.93
Balikpapan,ID,40,1579917525,83,-1.27,116.83,84.2,84.2,11.41
Basco,PH,100,1579917525,80,20.45,121.97,77.22,77.22,20.98
San Patricio,MX,40,1579917302,78,19.22,-104.7,80.6,80.6,9.17
Hanzhong,CN,100,1579917526,75,33.07,107.03,38.77,38.77,3.29
Yurimaguas,PE,100,1579917526,98,-5.9,-76.08,75.02,75.02,3.02
Merauke,ID,100,1579917526,70,-8.47,140.33,83.25,83.25,7.85
Garoowe,SO,100,1579917526,76,8.41,48.48,73.15,73.15,8.55
Mazamari,PE,100,1579917526,95,-11.33,-74.53,61.32,61.32,3.47
Grand Forks,US,90,1579917305,85,47.93,-97.03,23.95,24.8,1.81
Altagracia de Orituco,VE,12,1579917526,89,9.86,-66.38,62.71,62.71,4.38
Mbarara,UG,55,1579917526,59,-0.61,30.65,63.82,63.82,2.64
Saint-Francois,GP,20,1579917231,94,16.25,-61.27,75.2,75.2,2.24
Boende,CD,100,1579917527,41,-0.22,20.87,67.86,67.86,0.76
Sorland,NO,0,1579917527,59,67.67,12.69,36.68,36.68,17.4
Qiongshan,CN,20,1579917527,94,20.01,110.35,73.4,73.4,8.95
Bubaque,GW,98,1579917527,69,11.28,-15.83,78.24,78.24,10.85
Wajima,JP,75,1579917527,59,37.4,136.9,37.4,37.4,8.05
Australind,AU,0,1579917527,31,-33.27,115.72,81.41,84.99,5.37
Ninh Binh,VN,100,1579917527,84,20.25,105.97,72.1,72.1,12.21
Fort Nelson,CA,90,1579917527,85,58.81,-122.7,10.4,10.4,2.24
Bathsheba,BB,20,1579917528,78,13.22,-59.52,78.8,78.8,10.29
Sarakhs,IR,0,1579917528,86,36.54,61.16,39.2,39.2,4.7
Okhotsk,RU,0,1579917528,74,59.38,143.3,-18.06,-18.06,12.41
Gawler,AU,75,1579917528,64,-34.6,138.73,73.31,75.99,11.41
Pemangkat,ID,0,1579917528,68,1.17,108.97,84.85,84.85,4.38
Daru,PG,98,1579917528,51,-9.08,143.21,92.08,92.08,5.23
Olkhovka,RU,22,1579917529,91,53.21,60.61,1.38,1.38,14.92
Sinnamary,GF,36,1579917529,84,5.38,-52.95,79.25,79.25,15.39
Sturgeon Bay,US,90,1579917529,97,44.83,-87.38,33.24,34.0,9.17
Zhumadian,CN,100,1579917529,94,32.98,114.03,37.29,37.29,9.31
Olafsvik,IS,100,1579917529,89,64.89,-23.71,29.14,29.14,37.67
Jammalamadugu,IN,77,1579917529,61,14.83,78.4,72.39,72.39,0.56
Kajansi,UG,71,1579917529,88,0.21,32.52,69.8,69.8,3.36
